"Module","Subtopic","Description","Video Links","Projects","Interview Questions"

"Node.js Basics","Introduction to Node.js","Learn the fundamentals of Node.js, a JavaScript runtime for building backend applications.","https://www.youtube.com/watch?v=TlB_eWDSMt4","Create a simple server using Node.js.","1. What is Node.js and why is it used? 2. What is the difference between Node.js and JavaScript? 3. How do you create a basic server in Node.js? 4. What is the purpose of npm in Node.js? 5. What is the package.json file used for? 6. How do you install dependencies in Node.js? 7. What is the difference between synchronous and asynchronous code in Node.js? 8. How do you export and import modules in Node.js? 9. What is require() in Node.js? 10. What is the difference between fs and path modules?"
"Express.js","Building a REST API","Learn how to build RESTful APIs using Express.js.","https://www.youtube.com/watch?v=SccSCuHhOw0","Create a REST API with CRUD operations.","1. What is Express.js? 2. How do you create a server using Express? 3. What are middleware functions in Express? 4. How do you define routes in Express.js? 5. What is the difference between app.get() and app.post()? 6. How do you handle errors in Express? 7. What is body-parser used for? 8. How do you send JSON responses in Express? 9. What is the difference between req.params and req.query? 10. How do you create dynamic routes in Express.js?"
"RESTful APIs","API Architecture","Learn the fundamentals of RESTful APIs and how they work.","https://www.youtube.com/watch?v=lsMQRaeKNDk","Build a RESTful API to manage products.","1. What is a RESTful API? 2. What are the HTTP methods used in REST? 3. What is the difference between GET, POST, PUT, and DELETE? 4. What are status codes in RESTful APIs? 5. What is the purpose of URL parameters? 6. How do you implement authentication in a RESTful API? 7. What is JSON in REST APIs? 8. What is the difference between REST and SOAP? 9. How do you handle CORS in REST APIs? 10. What is pagination in RESTful APIs?"
"Middleware","Express Middleware","Understand how to use middleware in Express.js.","https://www.youtube.com/watch?v=9TSBKO59u0Y","Create middleware to log request details.","1. What is middleware in Express.js? 2. How do you define custom middleware? 3. What are the types of middleware in Express? 4. How do you handle errors with middleware? 5. What is next() in middleware? 6. What is third-party middleware? 7. How do you use app.use() in Express? 8. What is the difference between application-level and router-level middleware? 9. How do you pass data between middleware functions? 10. What are built-in middleware functions in Express?"
"Database Basics","SQL vs NoSQL","Learn the difference between SQL and NoSQL databases.","https://www.youtube.com/watch?v=ZS_kXvOeQ5Y","Create a schema for a user management system.","1. What is a database? 2. What is the difference between SQL and NoSQL? 3. What are examples of SQL and NoSQL databases? 4. What is the difference between tables and collections? 5. How do you structure data in SQL? 6. What is normalization in databases? 7. What is denormalization? 8. What are primary and foreign keys? 9. What is the difference between relational and non-relational databases? 10. What is an index in databases?"
"MongoDB Basics","Introduction to MongoDB","Learn how to work with MongoDB, a NoSQL database.","https://www.youtube.com/watch?v=-56x56UppqQ","Create a MongoDB collection and insert data.","1. What is MongoDB? 2. What is the difference between MongoDB and SQL databases? 3. How do you create a collection in MongoDB? 4. What is the difference between insertOne() and insertMany()? 5. What is a BSON document? 6. How do you query data in MongoDB? 7. What is the difference between find() and findOne()? 8. What is indexing in MongoDB? 9. How do you delete documents in MongoDB? 10. What is aggregation in MongoDB?"
"CRUD Operations","Create, Read, Update, Delete","Learn how to perform CRUD operations in MongoDB.","https://www.youtube.com/watch?v=excRbA7fy_A","Create a CRUD API to manage tasks.","1. What is CRUD? 2. How do you create a new document in MongoDB? 3. What is the find() method used for? 4. How do you update documents in MongoDB? 5. What is the difference between updateOne() and updateMany()? 6. How do you delete documents in MongoDB? 7. What is deleteOne() used for? 8. How do you use findById() in MongoDB? 9. What is save() method in MongoDB? 10. How do you handle errors in CRUD operations?"
"Authentication","JWT Authentication","Learn how to implement JWT authentication in Node.js.","https://www.youtube.com/watch?v=2jqok-WgelI","Create a login system with JWT authentication.","1. What is JWT? 2. How does JWT authentication work? 3. What is the structure of a JWT token? 4. How do you create a JWT token in Node.js? 5. What is token expiration? 6. How do you verify a JWT token? 7. What is the difference between JWT and OAuth? 8. How do you store JWT tokens securely? 9. What are refresh tokens? 10. How do you handle JWT token expiration?"
"Environment Variables","Configuring Environment","Learn how to use environment variables in Node.js.","https://www.youtube.com/watch?v=17UVejOw3zA","Use environment variables for database connection settings.","1. What are environment variables? 2. How do you use .env files in Node.js? 3. What is process.env in Node.js? 4. How do you load environment variables? 5. Why should you use environment variables? 6. How do you access environment variables in Express? 7. What is dotenv in Node.js? 8. How do you store sensitive data using environment variables? 9. What is config.js file used for? 10. How do you change environment configurations?"
"Deployment","Deploying Backend","Learn how to deploy Node.js applications.","https://www.youtube.com/watch?v=7xYVC2QWL9o","Deploy a Node.js app on Heroku.","1. How do you deploy a Node.js app? 2. What is Heroku? 3. What are environment variables in deployment? 4. How do you configure a production build? 5. What is PM2 used for? 6. How do you deploy with Docker? 7. What is CI/CD? 8. What is the difference between staging and production? 9. What is serverless deployment? 10. How do you monitor a deployed app?"

"Authentication & Authorization","OAuth and JWT","Learn how to implement OAuth and JWT authentication for secure APIs.","https://www.youtube.com/watch?v=2jqok-WgelI","Build a secure login system using JWT and OAuth.","1. What is the difference between authentication and authorization? 2. What is OAuth and how does it work? 3. What are the components of OAuth 2.0? 4. What is JWT and why is it used? 5. How do you create and verify JWT tokens? 6. What is token-based authentication? 7. How do you handle token expiration in JWT? 8. What is the difference between access tokens and refresh tokens? 9. How do you implement OAuth in a Node.js application? 10. How do you secure APIs using JWT?"
"API Security","Rate Limiting and CORS","Learn how to secure APIs using rate limiting, CORS, and best practices.","https://www.youtube.com/watch?v=f2z2b1ReXTo","Implement CORS and rate limiting in an Express.js API.","1. What is CORS and why is it important? 2. How do you enable CORS in Express.js? 3. What is rate limiting? 4. How do you prevent brute force attacks? 5. What is API throttling? 6. How do you use Helmet.js for security? 7. What is SQL injection and how do you prevent it? 8. How do you sanitize input data? 9. What is the purpose of HTTPS in API security? 10. What is Cross-Site Scripting (XSS) and how do you prevent it?"
"Data Validation","Schema Validation","Learn how to validate data using libraries like Joi or Mongoose.","https://www.youtube.com/watch?v=Axvjf7bwFck","Validate user data before saving to the database.","1. What is data validation? 2. How do you validate form data? 3. What is Joi and how does it work? 4. How do you use Mongoose for schema validation? 5. What is the difference between client-side and server-side validation? 6. How do you handle validation errors? 7. What is input sanitization? 8. What is regex validation? 9. How do you create custom validation rules? 10. What is data normalization in validation?"
"Session Management","Handling Sessions","Learn how to manage user sessions with cookies and tokens.","https://www.youtube.com/watch?v=7Q17ubqLfaM","Create a login system with session management.","1. What is a session in web development? 2. How do you create a session in Express.js? 3. What is the difference between cookies and sessions? 4. How do you store session data in MongoDB? 5. What is the express-session package? 6. How do you implement session expiration? 7. What is the difference between persistent and non-persistent sessions? 8. How do you secure session data? 9. What is session hijacking? 10. How do you use Redis for session storage?"
"File Uploads","File Handling in Backend","Learn how to handle file uploads using Multer in Node.js.","https://www.youtube.com/watch?v=srPXMt1Q0nY","Create a file upload API using Multer.","1. What is Multer in Node.js? 2. How do you handle file uploads in Express? 3. What is the difference between single() and array() in Multer? 4. How do you validate file types? 5. How do you set the upload destination? 6. What are the common security risks in file uploads? 7. How do you limit file size during upload? 8. What is the purpose of req.file in Multer? 9. How do you handle multiple file uploads? 10. How do you display uploaded files in the frontend?"
"WebSockets","Real-Time Communication","Learn how to use WebSockets for real-time applications.","https://www.youtube.com/watch?v=ZKEqqIO7n-k","Build a real-time chat app with WebSockets.","1. What is WebSockets? 2. How do you create a WebSocket server in Node.js? 3. What is the difference between HTTP and WebSockets? 4. How do you handle WebSocket connections? 5. What is socket.io in Node.js? 6. How do you broadcast messages in WebSockets? 7. What is the on event listener in WebSockets? 8. How do you handle disconnections? 9. What is the difference between polling and WebSockets? 10. How do you implement authentication in WebSockets?"
"Background Jobs","Asynchronous Task Scheduling","Learn how to handle background jobs using libraries like node-cron.","https://www.youtube.com/watch?v=eg6g7iHCJDA","Create a cron job to run scheduled tasks.","1. What is a background job? 2. What is node-cron used for? 3. How do you schedule tasks in Node.js? 4. What is the difference between setTimeout() and setInterval()? 5. How do you run background jobs asynchronously? 6. How do you handle errors in background jobs? 7. What is job queueing? 8. What are the use cases for background jobs? 9. How do you monitor background jobs? 10. What is RabbitMQ and how is it used in background jobs?"
"Microservices","Introduction to Microservices","Learn the basics of building microservices in Node.js.","https://www.youtube.com/watch?v=Uz5aT7Oc-pE","Build a microservice-based architecture with Node.js.","1. What are microservices? 2. What is the difference between monolithic and microservice architecture? 3. What is API Gateway in microservices? 4. How do you deploy microservices? 5. What is service discovery in microservices? 6. What is inter-service communication? 7. How do you handle data consistency in microservices? 8. What is the role of Docker in microservices? 9. What is the difference between synchronous and asynchronous communication in microservices? 10. How do you monitor microservices?"
"GraphQL","GraphQL vs REST APIs","Learn how to build APIs with GraphQL.","https://www.youtube.com/watch?v=ed8SzALpx1Q","Create a GraphQL API for fetching user data.","1. What is GraphQL? 2. What is the difference between GraphQL and REST APIs? 3. What is a resolver in GraphQL? 4. How do you define types in GraphQL? 5. What is a query in GraphQL? 6. What is mutation in GraphQL? 7. How do you handle errors in GraphQL? 8. What is schema stitching? 9. How do you cache data in GraphQL? 10. What is Apollo Client?"
"Serverless Backend","Introduction to Serverless","Learn how to create serverless functions using AWS Lambda.","https://www.youtube.com/watch?v=KngM5bfpttA","Deploy a serverless function with AWS Lambda.","1. What is serverless architecture? 2. What is AWS Lambda? 3. How do you create a serverless function? 4. What are the benefits of serverless architecture? 5. What is the difference between FaaS and PaaS? 6. How do you deploy serverless functions? 7. What is API Gateway in serverless? 8. How do you handle errors in serverless functions? 9. What is the cold start problem in serverless? 10. How do you optimize serverless functions?"
"SQL Basics","Introduction to SQL","Learn the fundamentals of SQL, including creating, reading, updating, and deleting data.","https://www.youtube.com/watch?v=HXV3zeQKqGY","Create a simple database and perform CRUD operations.","1. What is SQL? 2. What is the difference between SQL and NoSQL? 3. What is a table in SQL? 4. How do you create a table in SQL? 5. What is the SELECT statement used for? 6. How do you update records in SQL? 7. What is the difference between DELETE and TRUNCATE? 8. What are SQL constraints? 9. What is the difference between CHAR and VARCHAR? 10. How do you perform filtering with WHERE?"
"SQL Joins","Joining Tables","Learn how to use SQL joins to combine data from multiple tables.","https://www.youtube.com/watch?v=9yeOJ0ZMUYw","Create a database with multiple tables and use different joins to query data.","1. What is a SQL join? 2. What are the types of joins in SQL? 3. What is the difference between INNER JOIN and OUTER JOIN? 4. What is a LEFT JOIN? 5. What is a RIGHT JOIN? 6. How do you perform a self-join? 7. What is a cross join? 8. What is the ON clause in joins? 9. What is the difference between JOIN and UNION? 10. How do you optimize SQL join queries?"
"SQL Optimization","Query Optimization","Learn how to optimize SQL queries for better performance.","https://www.youtube.com/watch?v=1jVxLQz6v0I","Optimize a slow SQL query using indexing and proper filtering.","1. What is query optimization in SQL? 2. What are SQL indexes? 3. How do indexes improve query performance? 4. What is EXPLAIN used for? 5. How do you optimize SELECT statements? 6. What is the difference between clustered and non-clustered indexes? 7. What is SQL execution plan? 8. How do you avoid full table scans? 9. What is the impact of ORDER BY on performance? 10. How do you optimize complex joins?"
"Normalization","Database Normalization","Learn the principles of database normalization and how to apply them.","https://www.youtube.com/watch?v=6WSPm2qW064","Normalize an existing database schema into 3NF.","1. What is database normalization? 2. What are the normal forms in SQL? 3. What is 1NF, 2NF, and 3NF? 4. What is the purpose of normalization? 5. What is denormalization? 6. What are the advantages of normalization? 7. What is transitive dependency? 8. What is partial dependency? 9. How do you normalize a table? 10. What is the difference between normalization and denormalization?"
"NoSQL Basics","Introduction to NoSQL","Learn the fundamentals of NoSQL databases and their usage.","https://www.youtube.com/watch?v=BgRoiTWkBHU","Create a NoSQL database and insert sample data.","1. What is NoSQL? 2. What are the types of NoSQL databases? 3. What is the difference between SQL and NoSQL? 4. What is a document-based NoSQL database? 5. What is MongoDB? 6. What are key-value stores? 7. What is eventual consistency in NoSQL? 8. What is sharding in NoSQL? 9. What is the CAP theorem? 10. What are the advantages of NoSQL?"
"MongoDB","CRUD Operations in MongoDB","Learn how to perform CRUD operations in MongoDB.","https://www.youtube.com/watch?v=3dHNOWTI7H8","Create a MongoDB collection and implement CRUD operations.","1. What is MongoDB? 2. How do you create a collection in MongoDB? 3. What is the difference between insertOne() and insertMany()? 4. How do you query data in MongoDB? 5. What is the difference between find() and findOne()? 6. How do you update documents in MongoDB? 7. What is the difference between updateOne() and updateMany()? 8. How do you delete documents in MongoDB? 9. What is indexing in MongoDB? 10. What is aggregation in MongoDB?"
"Database Relationships","Modeling Relationships","Learn how to model relationships between tables in SQL and MongoDB.","https://www.youtube.com/watch?v=hqE1BQ1PknM","Create a relational database with multiple table relationships.","1. What are database relationships? 2. What is a one-to-one relationship? 3. What is a one-to-many relationship? 4. What is a many-to-many relationship? 5. What is referential integrity? 6. What are foreign keys in SQL? 7. How do you model relationships in MongoDB? 8. What is data redundancy? 9. What is cascade delete in relationships? 10. What is the difference between parent and child tables?"
"Data Indexing","Indexing Strategies","Learn how to use indexing to optimize database performance.","https://www.youtube.com/watch?v=yZ_cxBoWvlo","Optimize a large dataset query using indexing.","1. What is an index in SQL? 2. What is the difference between clustered and non-clustered indexes? 3. How do you create an index in SQL? 4. What is a composite index? 5. What are the benefits of indexing? 6. What is a unique index? 7. What are the limitations of indexing? 8. How do you analyze index performance? 9. What is an index scan? 10. How do you remove an index?"
"Transactions","ACID and Transactions","Learn how to use transactions for consistent database operations.","https://www.youtube.com/watch?v=kJX3vq5x5Mw","Implement a transaction in SQL to transfer money between accounts.","1. What is a transaction in SQL? 2. What is ACID in database transactions? 3. What is atomicity in transactions? 4. What is consistency in transactions? 5. What is isolation in transactions? 6. What is durability in transactions? 7. How do you create a transaction in SQL? 8. What is rollback in SQL? 9. What is commit in SQL? 10. What are nested transactions?"
"Database Security","Securing Databases","Learn how to secure SQL and NoSQL databases.","https://www.youtube.com/watch?v=87LQ4DnuP0U","Add user authentication and data encryption to a database.","1. What is database security? 2. What is SQL injection? 3. How do you prevent SQL injection attacks? 4. What is data encryption? 5. How do you use SSL in MongoDB? 6. What is role-based access control (RBAC)? 7. How do you implement authentication in SQL? 8. What is the difference between encryption and hashing? 9. What is a firewall in database security? 10. How do you audit database logs?"

"SQL Basics","Introduction to SQL","Learn the fundamentals of SQL, including creating, reading, updating, and deleting data.","https://www.youtube.com/watch?v=HXV3zeQKqGY","Create a simple database and perform CRUD operations.","1. What is SQL? 2. What is the difference between SQL and NoSQL? 3. What is a table in SQL? 4. How do you create a table in SQL? 5. What is the SELECT statement used for? 6. How do you update records in SQL? 7. What is the difference between DELETE and TRUNCATE? 8. What are SQL constraints? 9. What is the difference between CHAR and VARCHAR? 10. How do you perform filtering with WHERE?"
"SQL Joins","Joining Tables","Learn how to use SQL joins to combine data from multiple tables.","https://www.youtube.com/watch?v=9yeOJ0ZMUYw","Create a database with multiple tables and use different joins to query data.","1. What is a SQL join? 2. What are the types of joins in SQL? 3. What is the difference between INNER JOIN and OUTER JOIN? 4. What is a LEFT JOIN? 5. What is a RIGHT JOIN? 6. How do you perform a self-join? 7. What is a cross join? 8. What is the ON clause in joins? 9. What is the difference between JOIN and UNION? 10. How do you optimize SQL join queries?"
"SQL Optimization","Query Optimization","Learn how to optimize SQL queries for better performance.","https://www.youtube.com/watch?v=1jVxLQz6v0I","Optimize a slow SQL query using indexing and proper filtering.","1. What is query optimization in SQL? 2. What are SQL indexes? 3. How do indexes improve query performance? 4. What is EXPLAIN used for? 5. How do you optimize SELECT statements? 6. What is the difference between clustered and non-clustered indexes? 7. What is SQL execution plan? 8. How do you avoid full table scans? 9. What is the impact of ORDER BY on performance? 10. How do you optimize complex joins?"
"Normalization","Database Normalization","Learn the principles of database normalization and how to apply them.","https://www.youtube.com/watch?v=6WSPm2qW064","Normalize an existing database schema into 3NF.","1. What is database normalization? 2. What are the normal forms in SQL? 3. What is 1NF, 2NF, and 3NF? 4. What is the purpose of normalization? 5. What is denormalization? 6. What are the advantages of normalization? 7. What is transitive dependency? 8. What is partial dependency? 9. How do you normalize a table? 10. What is the difference between normalization and denormalization?"
"NoSQL Basics","Introduction to NoSQL","Learn the fundamentals of NoSQL databases and their usage.","https://www.youtube.com/watch?v=BgRoiTWkBHU","Create a NoSQL database and insert sample data.","1. What is NoSQL? 2. What are the types of NoSQL databases? 3. What is the difference between SQL and NoSQL? 4. What is a document-based NoSQL database? 5. What is MongoDB? 6. What are key-value stores? 7. What is eventual consistency in NoSQL? 8. What is sharding in NoSQL? 9. What is the CAP theorem? 10. What are the advantages of NoSQL?"
"MongoDB","CRUD Operations in MongoDB","Learn how to perform CRUD operations in MongoDB.","https://www.youtube.com/watch?v=3dHNOWTI7H8","Create a MongoDB collection and implement CRUD operations.","1. What is MongoDB? 2. How do you create a collection in MongoDB? 3. What is the difference between insertOne() and insertMany()? 4. How do you query data in MongoDB? 5. What is the difference between find() and findOne()? 6. How do you update documents in MongoDB? 7. What is the difference between updateOne() and updateMany()? 8. How do you delete documents in MongoDB? 9. What is indexing in MongoDB? 10. What is aggregation in MongoDB?"
"Database Relationships","Modeling Relationships","Learn how to model relationships between tables in SQL and MongoDB.","https://www.youtube.com/watch?v=hqE1BQ1PknM","Create a relational database with multiple table relationships.","1. What are database relationships? 2. What is a one-to-one relationship? 3. What is a one-to-many relationship? 4. What is a many-to-many relationship? 5. What is referential integrity? 6. What are foreign keys in SQL? 7. How do you model relationships in MongoDB? 8. What is data redundancy? 9. What is cascade delete in relationships? 10. What is the difference between parent and child tables?"
"Data Indexing","Indexing Strategies","Learn how to use indexing to optimize database performance.","https://www.youtube.com/watch?v=yZ_cxBoWvlo","Optimize a large dataset query using indexing.","1. What is an index in SQL? 2. What is the difference between clustered and non-clustered indexes? 3. How do you create an index in SQL? 4. What is a composite index? 5. What are the benefits of indexing? 6. What is a unique index? 7. What are the limitations of indexing? 8. How do you analyze index performance? 9. What is an index scan? 10. How do you remove an index?"
"Transactions","ACID and Transactions","Learn how to use transactions for consistent database operations.","https://www.youtube.com/watch?v=kJX3vq5x5Mw","Implement a transaction in SQL to transfer money between accounts.","1. What is a transaction in SQL? 2. What is ACID in database transactions? 3. What is atomicity in transactions? 4. What is consistency in transactions? 5. What is isolation in transactions? 6. What is durability in transactions? 7. How do you create a transaction in SQL? 8. What is rollback in SQL? 9. What is commit in SQL? 10. What are nested transactions?"
"Database Security","Securing Databases","Learn how to secure SQL and NoSQL databases.","https://www.youtube.com/watch?v=87LQ4DnuP0U","Add user authentication and data encryption to a database.","1. What is database security? 2. What is SQL injection? 3. How do you prevent SQL injection attacks? 4. What is data encryption? 5. How do you use SSL in MongoDB? 6. What is role-based access control (RBAC)? 7. How do you implement authentication in SQL? 8. What is the difference between encryption and hashing? 9. What is a firewall in database security? 10. How do you audit database logs?"

"Version Control","Git Basics","Learn the fundamentals of Git for version control, including commits, branches, and merging.","https://www.youtube.com/watch?v=SWYqp7iY_Tc","Create a Git repository, add commits, and merge branches.","1. What is Git? 2. How do you initialize a Git repository? 3. What is the difference between git add and git commit? 4. What is the purpose of branching in Git? 5. What is a merge conflict? 6. How do you resolve a merge conflict? 7. What is the difference between git pull and git fetch? 8. What is Git rebase? 9. How do you create a new branch in Git? 10. What is git stash used for?"
"GitHub and GitLab","Repository Hosting","Learn how to use GitHub and GitLab for hosting and collaborating on code repositories.","https://www.youtube.com/watch?v=nhNq2kIvi9s","Push a project to GitHub and collaborate with teammates.","1. What is GitHub? 2. How do you create a new repository on GitHub? 3. What is the difference between GitHub and GitLab? 4. How do you fork a repository? 5. What is a pull request? 6. How do you merge a pull request? 7. What is GitHub Actions? 8. How do you set up SSH keys with GitHub? 9. What is GitHub Issues? 10. How do you create a GitHub release?"
"Continuous Integration (CI)","CI Basics","Learn the fundamentals of Continuous Integration and its benefits in DevOps.","https://www.youtube.com/watch?v=1jVxLQz6v0I","Set up a CI pipeline using GitHub Actions.","1. What is Continuous Integration (CI)? 2. What are the benefits of CI? 3. How do you set up a CI pipeline? 4. What is GitHub Actions? 5. What is Jenkins? 6. What is the difference between CI and CD? 7. How do you automate testing in CI? 8. What is a build trigger? 9. What is the purpose of CI in DevOps? 10. What is Docker in CI/CD pipelines?"
"Continuous Deployment (CD)","CD Basics","Learn how to automate the deployment process using Continuous Deployment.","https://www.youtube.com/watch?v=1CHH1i_B0GA","Deploy an application using GitHub Actions and CD pipeline.","1. What is Continuous Deployment (CD)? 2. What is the difference between Continuous Integration and Continuous Deployment? 3. What is a deployment pipeline? 4. How do you set up auto-deployment in GitHub Actions? 5. What is the purpose of CD in DevOps? 6. What is Docker in CD? 7. What is Kubernetes? 8. How do you automate production deployment? 9. What are deployment triggers? 10. What is the difference between blue-green and canary deployment?"
"Docker","Containerization with Docker","Learn how to containerize applications using Docker.","https://www.youtube.com/watch?v=fqMOX6JJhGo","Create and run a Docker container for a Node.js app.","1. What is Docker? 2. What is containerization? 3. How do you install Docker? 4. What is the difference between images and containers? 5. How do you create a Docker container? 6. What is a Dockerfile? 7. How do you expose ports in Docker? 8. What is the difference between docker run and docker exec? 9. What is Docker Compose? 10. How do you manage Docker volumes?"
"Container Orchestration","Kubernetes Basics","Learn how to manage and scale containerized applications using Kubernetes.","https://www.youtube.com/watch?v=X48VuDVv0do","Deploy a multi-container application using Kubernetes.","1. What is Kubernetes? 2. What is the difference between Docker and Kubernetes? 3. What is a Kubernetes Pod? 4. What is a Kubernetes Deployment? 5. What is the role of kubectl in Kubernetes? 6. How do you scale applications in Kubernetes? 7. What is a service in Kubernetes? 8. What is a Kubernetes cluster? 9. How do you manage secrets in Kubernetes? 10. What is Helm in Kubernetes?"
"Cloud Deployment","Deploying on AWS and Heroku","Learn how to deploy applications on cloud platforms like AWS and Heroku.","https://www.youtube.com/watch?v=B0k0dqCmK3w","Deploy a Node.js app on AWS and Heroku.","1. What is cloud deployment? 2. How do you deploy an application on AWS? 3. What is EC2 in AWS? 4. How do you use Elastic Beanstalk? 5. What is the difference between Heroku and AWS? 6. How do you deploy a Dockerized app on Heroku? 7. What is a virtual machine? 8. What is auto-scaling? 9. What is the difference between PaaS and IaaS? 10. What is AWS Lambda?"
"Infrastructure as Code (IaC)","Terraform and Ansible","Learn how to automate infrastructure management using IaC tools.","https://www.youtube.com/watch?v=SLB_c_ayRMo","Deploy infrastructure using Terraform.","1. What is Infrastructure as Code (IaC)? 2. What is Terraform? 3. How do you install and configure Terraform? 4. What is Ansible? 5. How do you create and apply Terraform configurations? 6. What is the difference between Ansible and Terraform? 7. What are Terraform modules? 8. What is terraform plan? 9. What is configuration management in IaC? 10. How do you handle secrets in IaC?"
"Monitoring and Logging","Application Monitoring","Learn how to monitor applications using tools like Prometheus and Grafana.","https://www.youtube.com/watch?v=h4Sl21AKiDg","Set up a monitoring dashboard with Prometheus and Grafana.","1. What is application monitoring? 2. What is Prometheus? 3. How do you set up a monitoring dashboard? 4. What is Grafana? 5. How do you track server performance? 6. What is the difference between metrics and logs? 7. What is log aggregation? 8. How do you visualize monitoring data? 9. What is the difference between monitoring and alerting? 10. What is APM (Application Performance Management)?"
