"Topic","Subtopic","Description","Video Links","Projects","Interview Questions"
"Product Roadmap","Creating a Product Roadmap","Learn how to create a product roadmap that aligns with business goals.","https://www.youtube.com/watch?v=97lmD8JxHj0","Create a product roadmap for a mobile app project.","1. What are the key components of a product roadmap? 2. How do you prioritize features in a roadmap? 3. How do you communicate the roadmap to stakeholders? 4. What are some common challenges in creating a product roadmap? 5. How do you handle changes to the product roadmap?"
"Prioritization Frameworks","Techniques for Prioritizing Features","Understand frameworks like MoSCoW, RICE, and Kano for feature prioritization.","https://www.youtube.com/watch?v=06YmVwHiVxQ","Use the MoSCoW framework to prioritize features for a new product.","1. What are some common feature prioritization frameworks? 2. How do you decide which features to prioritize in a product? 3. How do you balance short-term vs. long-term feature development? 4. What is the MoSCoW method and how does it work? 5. How do you apply the RICE framework in product prioritization?"
"Kano Model","Applying the Kano Model","Learn how to apply the Kano Model to understand customer satisfaction with features.","https://www.youtube.com/watch?v=bRxQ_i02YOA","Apply the Kano Model to prioritize features for a new mobile app.","1. What is the Kano Model and how does it help in product development? 2. How do you categorize features using the Kano Model? 3. How does the Kano Model impact product roadmap decisions? 4. What is the difference between basic, performance, and excitement features? 5. How do you assess customer expectations using the Kano Model?"
"Product Backlog","Managing the Product Backlog","Learn how to create and manage a product backlog for an agile product development process.","https://www.youtube.com/watch?v=9n_bEZHqt40","Create a product backlog for a new software product.","1. What is a product backlog and why is it important? 2. How do you prioritize tasks in a product backlog? 3. How do you manage changes to the product backlog? 4. What role does the product owner play in managing the backlog? 5. How do you ensure the backlog aligns with customer needs?"

"Agile Methodology","Introduction to Agile","Understand the principles of Agile and how they impact product development.","https://www.youtube.com/watch?v=2z6r7oqm-QA","Implement Agile methodology for a team of developers working on a software project.","1. What are the key principles of Agile methodology? 2. How do Agile methodologies benefit product development? 3. What are the main differences between Agile and Waterfall? 4. How do you implement Agile in a product development team? 5. What is the role of a product manager in an Agile environment?"
"Scrum Framework","Working with Scrum","Learn how to apply the Scrum framework for efficient product development.","https://www.youtube.com/watch?v=93vDdtTZ4Uo","Set up a Scrum process for managing the development of a new mobile app.","1. What is Scrum and how is it used in product management? 2. What are the roles in a Scrum team? 3. How do you handle Scrum sprints and backlogs? 4. What is a product increment in Scrum? 5. How do you conduct a Scrum sprint review?"
"User Stories","Writing Effective User Stories","Learn how to create user stories that guide product development.","https://www.youtube.com/watch?v=2dXtJzOXhQY","Write user stories for a feature in a mobile app.","1. What is a user story and why is it important? 2. How do you write an effective user story? 3. What is the INVEST model for writing user stories? 4. How do you prioritize user stories in a sprint? 5. How do you validate that a user story has been completed successfully?"
"Scrum Ceremonies","Scrum Ceremonies and Artifacts","Understand Scrum ceremonies like Sprint Planning, Daily Standup, and Sprint Retrospectives.","https://www.youtube.com/watch?v=VvS7rGokEKg","Set up Scrum ceremonies for a product development team.","1. What are the key Scrum ceremonies? 2. How does a Sprint Planning meeting work? 3. What is the role of the Scrum Master in daily standups? 4. How do you conduct a Sprint Retrospective? 5. What is a Product Backlog Refinement session?"

"Product Development Process","The Stages of Product Development","Learn the stages of product development from ideation to launch.","https://www.youtube.com/watch?v=7i1l6wSCX2I","Create a detailed development plan for a new product from ideation to launch.","1. What are the key stages of product development? 2. How do you prioritize features during the product development process? 3. What are the common pitfalls in product development? 4. How do you manage product development timelines? 5. How do you ensure product quality during development?"
"Collaborating with Cross-functional Teams","Working with Engineering, Design, and Marketing Teams","Understand the role of product managers in working with cross-functional teams for product success.","https://www.youtube.com/watch?v=7jzAWOrYZDg","Collaborate with a design team to create a prototype for a new product.","1. How do you collaborate effectively with engineers, designers, and marketers? 2. What is the role of a product manager in cross-functional team meetings? 3. How do you handle conflicting priorities between teams? 4. What strategies can be used to ensure teams work towards a unified product vision? 5. How do you facilitate communication across teams?"
"Agile Product Development","Agile Product Development for Product Managers","Learn how to implement Agile practices to speed up product development while ensuring quality.","https://www.youtube.com/watch?v=LnJ5H6V4u1o","Set up an Agile workflow for a software product development team.","1. What are the benefits of using Agile for product development? 2. How do you manage product backlogs in an Agile environment? 3. What is the role of a product manager in a Scrum team? 4. How do you ensure the product team meets the development deadlines? 5. How do you measure the success of an Agile development process?"
"Managing Product Launches","Planning and Executing a Product Launch","Learn how to plan and manage the product launch process, from pre-launch to post-launch.","https://www.youtube.com/watch?v=nGZ9qzUBc-U","Create a product launch checklist for a new mobile app.","1. What are the key stages of a product launch? 2. How do you align the product launch with marketing and sales? 3. How do you prepare the product team for launch? 4. What metrics do you track during the product launch phase? 5. How do you handle post-launch feedback and iterations?"

"Understanding Product Lifecycle","Stages of the Product Lifecycle","Learn about the different stages a product goes through from inception to retirement.","https://www.youtube.com/watch?v=Zcf0LUSXZxg","Create a product lifecycle roadmap for a new software product.","1. What are the stages of the product lifecycle? 2. How do you decide when to phase out a product? 3. How do you ensure a product stays relevant during its lifecycle? 4. What is the role of a product manager in each lifecycle stage? 5. How do you handle product changes during the lifecycle?"
"Product Growth Strategies","Driving Product Growth","Learn strategies to grow a product through user acquisition, retention, and engagement.","https://www.youtube.com/watch?v=2Jz8zzVsR0k","Design a growth strategy for an existing product using A/B testing and user feedback.","1. What are the key strategies for product growth? 2. How do you analyze user retention metrics? 3. What role does A/B testing play in growth strategies? 4. How do you decide on feature prioritization for product growth? 5. How do you identify new markets or audiences for a product?"
"Monitoring Product Performance","Tracking Metrics and KPIs","Learn how to track and analyze product performance through KPIs and metrics.","https://www.youtube.com/watch?v=mltBjjT8wJw","Set up a dashboard for tracking product performance using key KPIs.","1. What KPIs are most important for product managers to track? 2. How do you measure user engagement? 3. What role does data analytics play in product management? 4. How do you use performance data to improve a product? 5. What tools do you use for tracking product performance?"
"Product Iteration and Improvement","Iterating and Improving Products","Understand how to gather feedback and iterate on a product to improve it over time.","https://www.youtube.com/watch?v=FvZxth2R9kY","Create an iteration plan for improving a mobile app based on user feedback.","1. How do you collect and analyze product feedback? 2. What methods do you use to prioritize product improvements? 3. How do you decide whether to pivot or iterate on a product? 4. What are the common challenges in product iteration? 5. How do you communicate product changes to stakeholders?"
"Product Retirement and End-of-Life Planning","Managing Product Retirement","Learn how to manage the end-of-life phase for a product, including deprecation and retirement strategies.","https://www.youtube.com/watch?v=9nLxh3ZdP7A","Create a product retirement plan for a software product reaching its end-of-life stage.","1. What factors determine when to retire a product? 2. How do you manage customer expectations during product retirement? 3. What are the key challenges in product retirement? 4. How do you handle legacy products that are still in use by some customers? 5. What steps do you take to ensure a smooth transition when retiring a product?"

"Product Strategy Development","Crafting a Product Strategy","Learn how to define a clear product strategy aligned with company goals and market demands.","https://www.youtube.com/watch?v=YQzQx5vG2Ac","Create a comprehensive product strategy for a new product idea in a competitive market.","1. What are the key elements of a product strategy? 2. How do you align product strategy with company goals? 3. How do you evaluate market needs when creating a product strategy? 4. What role does customer research play in product strategy? 5. How do you communicate your product strategy to stakeholders?"
"Roadmap Creation","Building a Product Roadmap","Learn how to build a product roadmap that outlines product features, timelines, and milestones.","https://www.youtube.com/watch?v=dJ9FyFAjLgI","Create a product roadmap for a SaaS product, including quarterly milestones and feature launches.","1. What is the difference between a product roadmap and a project plan? 2. How do you prioritize features in a product roadmap? 3. How do you align the roadmap with business objectives? 4. How do you manage stakeholder expectations in product roadmapping? 5. What tools do you use for building and tracking product roadmaps?"
"Market Research and Competitive Analysis","Conducting Market Research and Competitor Analysis","Understand how to conduct market research and analyze competitors to inform product strategy.","https://www.youtube.com/watch?v=QFZlV7zMeaA","Conduct a competitive analysis of a product in a saturated market and identify opportunities for differentiation.","1. How do you perform competitive analysis in product management? 2. What are the most effective ways to gather market research data? 3. How do you identify gaps in the market? 4. How do you use market research to inform product strategy? 5. How do you balance innovation and competition in product strategy?"
"User Personas and Journey Mapping","Creating User Personas and Journey Maps","Learn how to build user personas and journey maps to guide product development and strategy.","https://www.youtube.com/watch?v=x7Vp9jcLPtM","Create user personas and journey maps for a target audience of an e-commerce app.","1. How do you create accurate user personas? 2. What is the role of user journey mapping in product strategy? 3. How do you use personas and journey maps in the product development process? 4. How do you align product decisions with user needs and behavior? 5. What tools and methods do you use to gather data for personas?"
"Aligning Product Goals with Company Vision","Aligning Product with Company Vision","Learn how to ensure that your product’s vision and goals align with the broader company vision and strategy.","https://www.youtube.com/watch?v=J5OAWYlh3sI","Develop a product vision and mission that aligns with a company's long-term business goals and values.","1. How do you align product goals with the company’s mission and vision? 2. How do you measure the success of a product strategy in terms of company objectives? 3. How do you adjust product goals based on company or market changes? 4. What metrics do you use to ensure product strategy alignment? 5. How do you communicate the product vision to your team and stakeholders?"

"Agile Fundamentals","Understanding Agile Methodology","Introduction to Agile values, principles, and how it's used in product development.","https://www.youtube.com/watch?v=Z9QbYZh1YXY","Create a visual representation of the Agile process with stages of product iteration.","1. What are the core values of Agile? 2. How is Agile different from traditional project management?"
"Scrum Framework","Scrum Roles, Events, and Artifacts","Explore Scrum elements like sprint planning, daily stand-ups, and retrospectives.","https://www.youtube.com/watch?v=9TycLR0TqFA","Simulate a full sprint cycle for a product feature using Scrum boards.","3. What are the responsibilities of a Product Owner in Scrum? 4. What happens during a sprint retrospective?"
"User Stories & Backlog","Writing Effective User Stories","Learn how to write user stories and maintain a prioritized backlog.","https://www.youtube.com/watch?v=apOvF9NVguA","Create a product backlog with user stories, acceptance criteria, and priority rankings.","5. How do you write a good user story? 6. How do you manage backlog prioritization?"
"Sprint Planning & Execution","Managing Agile Sprints","Understand how to plan, run, and track Agile sprints efficiently.","https://www.youtube.com/watch?v=9jEf-EQhJ6A","Run a mock sprint with tasks assigned across a team and track progress via a Kanban board.","7. How do you estimate effort in sprints? 8. What is the purpose of a sprint review?"
"Product Manager in Agile","Role of PM in Agile Environment","Learn how product managers collaborate with dev teams in an Agile setting.","https://www.youtube.com/watch?v=k5C8EmacJxg","Document how a product manager facilitates communication between devs, stakeholders, and users in Agile.","9. What is the PM’s role in daily stand-ups? 10. How do PMs ensure Agile success in a cross-functional team?"

"Product Metrics","Key Performance Indicators (KPIs)","Learn essential product metrics like DAU, MAU, retention, churn, and how to track product success.","https://www.youtube.com/watch?v=gPK1ZwnS4t4","Create a dashboard showing KPIs for a product using mock data.","1. What is the difference between DAU and MAU? 2. Why is churn rate important?"
"Data Analysis Tools","Excel, SQL & Google Analytics","Overview of tools used for analyzing user behavior, product usage, and performance.","https://www.youtube.com/watch?v=1Ju3NrKUN3s","Analyze feature adoption using sample SQL queries on mock product database.","3. What SQL query would you use to find most active users? 4. What is cohort analysis?"
"A/B Testing","Experimentation & Evaluation","Understand how to set up and evaluate A/B tests to improve product decisions.","https://www.youtube.com/watch?v=rbxMOp7wzAo","Design and evaluate an A/B test for a new feature release.","5. What is statistical significance in A/B testing? 6. How do you interpret A/B test results?"
"Customer Feedback & Analytics","Using Feedback to Drive Product Changes","Learn how to collect, categorize, and utilize user feedback for product improvement.","https://www.youtube.com/watch?v=z_7kTJwz9MI","Develop a system for organizing feedback from multiple channels and linking it to product roadmap.","7. What tools are used for collecting customer feedback? 8. How do you prioritize feedback-driven changes?"
"Data-Driven Culture","PM’s Role in Data Culture","Explore how PMs promote a data-first mindset across cross-functional teams.","https://www.youtube.com/watch?v=gu2FmkX85yM","Create a guide for a data-driven decision-making process across the product lifecycle.","9. How do PMs communicate data insights to stakeholders? 10. What are challenges in maintaining a data-driven culture?"

"Major Project","AI-Powered Product Recommendation Engine","Design and manage a cross-functional project to launch an AI-based recommendation engine for an e-commerce platform.","AI Concepts, Stakeholder Management, Wireframing, Data Analysis, Agile Tools (JIRA, Trello)","Improved customer conversion by 20% and increased engagement time on the platform."
"Major Project","SaaS Product Launch & GTM Strategy","Manage the end-to-end product development and Go-To-Market (GTM) strategy for a SaaS productivity app.","GTM Strategy, Marketing Analytics, Roadmapping, Competitive Analysis, Customer Feedback","Successful launch with 10k+ signups in the first month, validated product-market fit."
"Minor Project","User Journey Mapping for a Mobile App","Create a detailed user journey map for a health tracking mobile app, identifying pain points and areas of improvement.","User Research, Journey Mapping, Design Thinking, Empathy Maps","Helped design team reduce user friction by 35% and improved app rating from 3.2 to 4.4."
"Minor Project","Feature Prioritization Dashboard","Build a dashboard to help prioritize features based on user feedback and business value.","Product Metrics, Feedback Analysis, Excel/Google Sheets, Value vs Effort Matrix","Enabled faster decision-making during sprint planning and reduced backlog by 40%."
