"Topic","Subtopic","Description","Video Links","Interview Questions"
"CI/CD Best Practices","CI/CD Pipeline Optimization","Explore best practices for optimizing CI/CD pipelines for speed, efficiency, and reliability.","https://www.youtube.com/watch?v=bhI2Q9FZ_l4","1. What are some best practices for CI/CD pipelines? 2. How do you speed up your build time in Jenkins? 3. How do you prevent flaky tests in CI pipelines? 4. How can you handle secrets and sensitive data in pipelines? 5. What is blue-green deployment?"

"Configuration Management","Ansible Basics","Introduction to Ansible for automating configuration management.","https://www.youtube.com/watch?v=wgQ3rH1H1HM","1. What is Ansible and how does it work? 2. How do you define a playbook in Ansible? 3. What is the difference between a playbook and a role in Ansible? 4. What are Ansible modules? 5. How do you manage remote hosts with Ansible?"
"Configuration Management","Terraform Basics","Introduction to Terraform for infrastructure as code and automated provisioning.","https://www.youtube.com/watch?v=SLB4RERJkDU","1. What is Terraform and how does it work? 2. How do you write a Terraform configuration file? 3. What is the difference between Terraform and CloudFormation? 4. How do you use Terraform for AWS provisioning? 5. What is the purpose of the terraform plan command?"
"Configuration Management","Ansible Advanced Concepts","Learn advanced Ansible concepts like dynamic inventory and Ansible Galaxy.","https://www.youtube.com/watch?v=f2_fHScUt88","1. What is dynamic inventory in Ansible? 2. How do you manage multiple environments in Ansible? 3. What are Ansible collections? 4. What is Ansible Galaxy? 5. How do you use Ansible roles effectively?"
"Configuration Management","Terraform State & Modules","Explore Terraform's state management and the use of modules for reusable infrastructure.","https://www.youtube.com/watch?v=KhGLwTqVw5w","1. What is Terraform state and why is it important? 2. How do you manage Terraform state across teams? 3. What is a Terraform module? 4. How do you use remote backends with Terraform? 5. How do you import existing resources into Terraform?"

"Docker Basics","Introduction to Docker","Learn the fundamentals of Docker and containerization.","https://www.youtube.com/watch?v=YFl2m4zN8Z0","1. What is Docker and how does it work? 2. What are containers and how do they differ from virtual machines? 3. What is a Docker image? 4. How do you create a Docker container? 5. What is the purpose of a Dockerfile?"
"Docker Commands","Essential Docker Commands","Explore basic Docker commands like docker build, docker run, docker ps and more.","https://www.youtube.com/watch?v=Z2Lxu3uYmf8","1. How do you build a Docker image? 2. What command is used to list running containers? 3. How do you stop a running container? 4. How do you view logs of a container? 5. What is the purpose of docker exec?"
"Docker Compose","Docker Compose Overview","Learn how to manage multi-container applications with Docker Compose.","https://www.youtube.com/watch?v=QwGhUdzcs3I","1. What is Docker Compose and how is it different from Docker? 2. How do you define services in a docker-compose.yml file? 3. What is the purpose of docker-compose up? 4. How do you scale services with Docker Compose? 5. How do you link containers in Docker Compose?"
"Docker Networking and Volumes","Docker Networking Basics","Understand Docker's networking features and how to manage persistent data with volumes.","https://www.youtube.com/watch?v=VybzCICkr7w","1. What are Docker networks and how do they work? 2. How do you create a custom network in Docker? 3. What is the purpose of Docker volumes? 4. How do you mount a host directory as a volume in Docker? 5. How do you inspect a Docker network?"
"Kubernetes Basics","Introduction to Kubernetes","Learn the fundamentals of Kubernetes, its architecture, and key components.","https://www.youtube.com/watch?v=X48VuDVv0do","1. What is Kubernetes and why is it used? 2. What are the core components of Kubernetes? 3. What is the purpose of a Pod in Kubernetes? 4. How does Kubernetes help with container orchestration? 5. What is the role of the Kubernetes master node?"
"Pods, Deployments, and Services","Managing Kubernetes Resources","Learn how to create and manage Pods, Deployments, and Services in Kubernetes.","https://www.youtube.com/watch?v=PH-2FfFD2PU","1. What is a Pod in Kubernetes? 2. How do you scale applications using Kubernetes Deployments? 3. What is a Service in Kubernetes and why do you need it? 4. What are the different types of Services in Kubernetes? 5. How do you expose a Pod to external traffic in Kubernetes?"
"Kubernetes Networking","Networking in Kubernetes","Explore Kubernetes networking, including Services, DNS, and Network Policies.","https://www.youtube.com/watch?v=Zy9JxHZkA4I","1. What is the Kubernetes network model? 2. How do Pods communicate in Kubernetes? 3. What is the purpose of Kubernetes DNS? 4. What are Network Policies in Kubernetes? 5. How do you troubleshoot network issues in Kubernetes?"
"Helm and Kubernetes Deployment","Using Helm to Deploy Applications","Learn how to use Helm, a package manager for Kubernetes, to simplify application deployment.","https://www.youtube.com/watch?v=R8nWs4pl9Yw","1. What is Helm in Kubernetes? 2. How does Helm simplify Kubernetes deployment? 3. What is a Helm chart and how do you use it? 4. How do you upgrade an application using Helm? 5. How do you rollback to a previous version of a deployment using Helm?"

"CI/CD Basics","Introduction to CI/CD","Learn the principles and practices of Continuous Integration and Continuous Delivery.","https://www.youtube.com/watch?v=1rFprvDOg_o","1. What is CI/CD and how does it improve the development process? 2. What is the difference between Continuous Integration and Continuous Delivery? 3. How does CI/CD impact testing? 4. What are the key stages in a typical CI/CD pipeline? 5. What tools are commonly used in CI/CD?"
"CI with Jenkins","Setting up Jenkins for CI","Learn how to configure Jenkins for Continuous Integration and automate build processes.","https://www.youtube.com/watch?v=FxJjJY24wd8","1. What is Jenkins and how does it support CI? 2. How do you configure Jenkins to run automated tests? 3. What is a Jenkins pipeline? 4. How do you integrate version control systems (e.g., Git) with Jenkins? 5. How do you manage Jenkins plugins?"
"CD with Jenkins & Docker","Implementing Continuous Delivery with Jenkins and Docker","Learn how to use Docker containers for CD and automate deployments with Jenkins.","https://www.youtube.com/watch?v=8ijR_Zp81pI","1. What is Docker and how does it support Continuous Delivery? 2. How do you create Docker images for your application? 3. What is the role of Jenkins in Continuous Delivery? 4. How do you integrate Docker with Jenkins for automated deployments? 5. What are the best practices for managing Docker containers in production?"
"Automation with Terraform","Automating Infrastructure with Terraform","Learn how to use Terraform for infrastructure provisioning and automation.","https://www.youtube.com/watch?v=7xngz8Vm18E","1. What is Terraform and how does it automate infrastructure? 2. How do you write Terraform configurations? 3. What are the benefits of Infrastructure as Code (IaC)? 4. How do you deploy infrastructure with Terraform? 5. What are Terraform modules and how do you use them?"

"Introduction to Monitoring","Why Monitoring is Important","Understand the purpose of monitoring in a DevOps pipeline and its importance for proactive problem resolution.","https://www.youtube.com/watch?v=rr-tLZzWqG4","1. What is the importance of monitoring in a DevOps pipeline? 2. How do monitoring and logging contribute to system reliability? 3. What types of metrics do you monitor in a production environment? 4. What are some common monitoring tools used in DevOps? 5. How do you monitor the performance of a microservices architecture?"
"Prometheus & Grafana","Setting Up Prometheus and Grafana for Monitoring","Learn how to set up Prometheus for collecting metrics and Grafana for visualizing those metrics.","https://www.youtube.com/watch?v=6sK6xlA8C-s","1. What is Prometheus and how does it work? 2. How do you integrate Prometheus with Grafana? 3. What are Prometheus exporters? 4. How do you create dashboards in Grafana? 5. What metrics are important to monitor using Prometheus?"
"Logging with ELK Stack","Introduction to ELK Stack for Logging","Learn how to use Elasticsearch, Logstash, and Kibana (ELK Stack) for logging and analyzing application logs.","https://www.youtube.com/watch?v=K4rFsvUjwEw","1. What is the ELK stack and how does it work for logging? 2. What are the benefits of using Elasticsearch for log analysis? 3. How does Logstash process log data? 4. How do you set up Kibana for visualizing logs? 5. How can you troubleshoot issues using the ELK stack?"
"Distributed Tracing","Distributed Tracing for Microservices","Learn the concepts and tools used to implement distributed tracing in a microservices environment to track requests across services.","https://www.youtube.com/watch?v=8p9pK0zry7s","1. What is distributed tracing and why is it important? 2. How does distributed tracing work in a microservices architecture? 3. What tools are used for distributed tracing? 4. What is the difference between monitoring and distributed tracing? 5. How do you implement distributed tracing with tools like Jaeger or Zipkin?"

"Introduction to CI/CD","What is CI/CD?","Learn the basics of Continuous Integration (CI) and Continuous Deployment (CD), and understand their benefits.","https://www.youtube.com/watch?v=5s1GHDpm9u0","1. What is the difference between Continuous Integration (CI) and Continuous Deployment (CD)? 2. How does CI/CD help in DevOps? 3. What are the main stages of a CI/CD pipeline? 4. What tools are commonly used for CI/CD? 5. How do CI and CD impact software development and delivery speed?"
"CI/CD with Jenkins","Setting Up Jenkins for CI/CD","Learn how to use Jenkins to automate the build, test, and deployment processes in a CI/CD pipeline.","https://www.youtube.com/watch?v=5oWREWBvVwI","1. What is Jenkins and how does it integrate into the CI/CD pipeline? 2. How do you configure a Jenkins pipeline for a project? 3. What is the role of Jenkins agents in CI/CD? 4. How do you manage Jenkins pipelines using Jenkinsfiles? 5. How do you handle failed builds in Jenkins?"
"CI/CD with GitLab CI","Setting Up CI/CD with GitLab CI","Learn how to set up a CI/CD pipeline using GitLab CI for automated testing and deployment.","https://www.youtube.com/watch?v=eePVR3eM76A","1. How does GitLab CI integrate with version control systems like Git? 2. How do you write a .gitlab-ci.yml file? 3. What are runners in GitLab CI? 4. How do you set up automated testing in GitLab CI? 5. How do you manage secrets and credentials in GitLab CI?"
"CI/CD with Docker & Kubernetes","Docker and Kubernetes in CI/CD","Learn how to use Docker for containerization and Kubernetes for container orchestration within a CI/CD pipeline.","https://www.youtube.com/watch?v=0S4vMNtv_z0","1. What is Docker and how is it used in CI/CD pipelines? 2. How do you deploy applications using Kubernetes in CI/CD? 3. What is the benefit of containerization in CI/CD? 4. How do you integrate Docker with Jenkins for CI/CD? 5. What are Kubernetes pods and how do they help with CI/CD?"

"Introduction to Monitoring","What is Monitoring in DevOps?","Learn the fundamentals of monitoring and how it integrates into the DevOps pipeline to track system performance.","https://www.youtube.com/watch?v=dyk31joXy78","1. What are the key components of a monitoring system in DevOps? 2. How do you monitor application performance in a CI/CD pipeline? 3. What are some popular monitoring tools used in DevOps? 4. How does monitoring help in proactive issue detection? 5. What are the main metrics to monitor in production environments?"
"Log Management","Logging and Log Analysis","Learn how to use logging systems to gather, analyze, and manage logs from different systems and applications.","https://www.youtube.com/watch?v=4oyU4G6PCn8","1. What is log management in DevOps? 2. What are some log management tools commonly used in DevOps pipelines? 3. How do you aggregate logs from multiple microservices? 4. What is centralized logging, and why is it important? 5. How can you ensure that logs are properly rotated and archived?"
"Prometheus and Grafana","Monitoring with Prometheus and Grafana","Learn how to use Prometheus for monitoring and Grafana for visualizing system metrics.","https://www.youtube.com/watch?v=bd6A_DexQ60","1. What is Prometheus and how does it help in monitoring? 2. How do you set up Prometheus to monitor your application? 3. What is the role of Grafana in monitoring? 4. How do you create custom dashboards in Grafana? 5. How do Prometheus and Grafana work together for performance monitoring?"
"ELK Stack","Using ELK Stack for Monitoring and Logging","Learn how to use Elasticsearch, Logstash, and Kibana (ELK) for monitoring and log analysis in DevOps workflows.","https://www.youtube.com/watch?v=nV0ptDLbA44","1. What is the ELK stack and how is it used in DevOps? 2. How does Elasticsearch help in storing and retrieving logs? 3. What is Logstash and how does it help in log data collection? 4. What are Kibana dashboards used for? 5. How do you set up log aggregation with the ELK stack?"
