"Topic","Subtopic","Description","Video Links","Projects","Interview Questions"

"Defense-in-Depth","Layered Security","Learn how to implement multiple security controls at different layers (perimeter, network, host, application).","https://www.youtube.com/watch?v=3t4sI2nFfjE","Design a network diagram showcasing at least three security layers (e.g., firewall, IDS, endpoint protection).","1. What is defense-in-depth? 2. Why is layering security controls effective? 3. How do you choose which controls to layer? 4. What is the role of network segmentation? 5. How does host hardening complement perimeter defenses? 6. What are application-layer defenses? 7. How do you measure the effectiveness of layered controls? 8. What are potential gaps in defense-in-depth? 9. How does defense-in-depth mitigate zero-day attacks? 10. How do you document a layered security architecture?"
"Network Scanning","Nmap Techniques","Understand Nmap scan types (SYN, TCP connect, UDP) and service/version detection.","https://www.youtube.com/watch?v=20NLCl7ofPA","Perform Nmap scans on a lab network, document open ports, and identify services.","1. What is a SYN scan and how does it work? 2. How do you detect service versions with Nmap? 3. What are the risks of aggressive scanning? 4. How do you scan for UDP services? 5. What is OS fingerprinting? 6. How do you use timing templates? 7. What is NSE (Nmap Scripting Engine)? 8. How do you interpret Nmap output? 9. How can you evade basic IDS detection? 10. How do you automate Nmap scans?"
"Vulnerability Assessment","OpenVAS & Nessus","Learn to configure and run authenticated and unauthenticated vulnerability scans.","https://www.youtube.com/watch?v=fDd6tFlSYzA","Conduct both authenticated and unauthenticated scans against a test VM and analyze the reports.","1. What is the difference between authenticated and unauthenticated scans? 2. How do you interpret CVSS scores? 3. What is false positive vs. false negative? 4. How do you configure scan policies? 5. How often should scans be scheduled? 6. What is credentialed scanning? 7. How do you remediate high-severity findings? 8. What is plugin tuning? 9. How do you validate that vulnerabilities are fixed? 10. How do you integrate vulnerability scanning into CI/CD?"
"Penetration Testing Process","PT Methodology","Explore the phases: reconnaissance, scanning, exploitation, post-exploitation, and reporting.","https://www.youtube.com/watch?v=QK_U5QoedXY","Execute a full pentest on a vulnerable VM (e.g., Metasploitable), document each phase.","1. What are the five phases of penetration testing? 2. How do you perform open-source intelligence (OSINT)? 3. What is pivoting? 4. How do you escalate privileges? 5. What is post-exploitation? 6. How do you maintain access? 7. How do you document findings? 8. What ethical considerations apply? 9. How do you define scope? 10. How do you handle out-of-scope systems?"
"Exploitation Frameworks","Metasploit Basics","Learn Metasploit modules, payloads, and auxiliary functions for automated exploitation.","https://www.youtube.com/watch?v=U7AYKJcYeHc","Use Metasploit to exploit a known vulnerability and obtain a shell on a lab VM.","1. What is a Metasploit module? 2. How do you select a payload? 3. What is Meterpreter? 4. How do you search for modules? 5. How do you set module options? 6. What is the role of auxiliary modules? 7. How do you generate a custom payload? 8. How do you upgrade a shell? 9. How do you clean up after exploitation? 10. How do you use Metasploit in a team environment?"
"Web App Testing","OWASP Top 10","Understand testing for injection, XSS, CSRF, broken auth, and other OWASP Top 10 vulnerabilities.","https://www.youtube.com/watch?v=FmyvW7ZzVds","Test a DVWA instance for each OWASP Top 10 vulnerability and propose mitigations.","1. How do you exploit SQL injection? 2. What is reflected vs. stored XSS? 3. How do you test for CSRF? 4. What are common auth misconfigurations? 5. How do you identify insecure direct object references? 6. What is security misconfiguration? 7. How do you prevent file upload vulnerabilities? 8. What is clickjacking? 9. How do you test for sensitive data exposure? 10. How do you secure REST APIs?"
"Wireless Security","Aircrack-ng Suite","Learn wireless packet capture, WEP/WPA handshake capture, and password cracking.","https://www.youtube.com/watch?v=uk0oXTNExdQ","Capture a WPA2 handshake in a lab and crack the PSK using Aircrack-ng.","1. What is a WPA2 4-way handshake? 2. How do you capture wireless packets? 3. What is deauthentication attack? 4. How do you use airodump-ng? 5. What is aircrack-ng’s role? 6. How do you generate traffic? 7. What are PMKID attacks? 8. How do you secure a wireless network? 9. What is SSID cloaking? 10. How do you detect rogue APs?"
"Social Engineering","Phishing Frameworks","Explore phishing kits, email spoofing, and user-awareness campaigns.","https://www.youtube.com/watch?v=b6O54xo3fqM","Deploy a phishing site in a controlled lab and measure simulated user responses.","1. What is spear phishing? 2. How do you craft a spoofed email? 3. What tools automate phishing? 4. How do you detect phishing URLs? 5. What is DNS hijacking? 6. How do you train users? 7. What legal constraints apply? 8. How do you measure click-through rates? 9. What is reverse social engineering? 10. How do you remediate compromised accounts?"
"Post-Exploitation","Persistence Techniques","Learn techniques like scheduled tasks, services, cron jobs, and registry run keys to maintain access.","https://www.youtube.com/watch?v=pgN5k_MX2PA","Implement multiple persistence mechanisms on a compromised lab VM and detect them.","1. What is persistence? 2. How do you create a Windows service? 3. What are cron jobs in Linux? 4. How do you use WMI for persistence? 5. What is DLL hijacking? 6. How do you detect rootkits? 7. What is bootkit? 8. How do you remove persistence? 9. How do you monitor for persistence? 10. What is the difference between user and system persistence?"
"Reporting & Remediation","Pentest Report Writing","Understand how to structure findings, risk ratings, and remediation recommendations.","https://www.youtube.com/watch?v=5e5rh4J0i3I","Draft a professional penetration test report including executive summary and technical details.","1. What are key sections of a pentest report? 2. How do you communicate risk to executives? 3. What is CVSS v3 scoring? 4. How do you prioritize remediation? 5. What is proof-of-concept? 6. How do you present false positives? 7. How do you maintain confidentiality? 8. What is the role of appendices? 9. How do you track remediation status? 10. How do you incorporate client feedback?"

"Application Security Fundamentals","Secure SDLC","Learn how to integrate security at each phase of the software development lifecycle.","https://www.youtube.com/watch?v=H-JHqpoOgFg","Create a security checklist for requirements, design, implementation, testing, and deployment phases.","1. What is Secure SDLC? 2. Why shift security left in SDLC? 3. What are common SDLC models? 4. How do you perform threat modeling? 5. What is security gate? 6. How do you integrate SAST tools? 7. What is DAST and when is it used? 8. How do you handle third‑party library risks? 9. What is security regression testing? 10. How do you maintain security post‑deployment?"
"Input Validation & Sanitization","Preventing Injection","Understand input validation, output encoding, and sanitization to prevent injection attacks.","https://www.youtube.com/watch?v=NzTjI6-HBdM","Build a small web app and demonstrate prevention of SQL injection and XSS via proper validation.","1. What is input validation? 2. How does parameterized queries prevent SQLi? 3. What is output encoding? 4. How do you sanitize HTML input? 5. What is CSP and how does it help? 6. What are regex pitfalls? 7. How do you validate file uploads? 8. What is whitelist vs. blacklist validation? 9. How do you prevent LDAP injection? 10. What libraries assist in sanitization?"
"Authentication & Session Management","Secure Auth Flows","Learn best practices for authentication (password storage, MFA) and secure session handling.","https://www.youtube.com/watch?v=2jqok-WgelI","Implement a login system with bcrypt‑hashed passwords, JWTs, and refresh tokens.","1. How do you store passwords securely? 2. What is bcrypt’s work factor? 3. How does JWT authentication work? 4. What are access vs. refresh tokens? 5. How do you invalidate sessions? 6. What is CSRF and how do you prevent it? 7. How does SameSite cookie attribute work? 8. What is session fixation? 9. How do you implement MFA? 10. What is OAuth2 authorization code flow?"
"Access Control","RBAC & ABAC","Explore role‑based and attribute‑based access control models and implementation.","https://www.youtube.com/watch?v=VQz6W0UbtLI","Create an API with RBAC policies enforced at route and method levels.","1. What is RBAC? 2. What is ABAC? 3. How do you define roles and permissions? 4. What is the principle of least privilege? 5. How do you implement policy enforcement? 6. What is a permission matrix? 7. How do you handle role hierarchy? 8. What are claims in ABAC? 9. How do you audit access control? 10. How do you test access control rules?"
"Secure API Development","API Security","Learn to secure RESTful and GraphQL APIs against common threats.","https://www.youtube.com/watch?v=li5Y9Hj3Y-c","Build a CRUD API with rate limiting, input validation, and JWT auth.","1. How do you implement rate limiting? 2. What is CORS and how do you configure it? 3. How do you handle API versioning? 4. What are idempotent methods? 5. How do you prevent mass assignment? 6. What is GraphQL query depth limiting? 7. How do you log API access? 8. What is API key management? 9. How do you handle error messages securely? 10. What is HMAC signing for APIs?"
"Dependency Management","Vulnerability Scanning","Understand how to identify and remediate vulnerabilities in third‑party libraries.","https://www.youtube.com/watch?v=zONsZZ2nQ48","Use OWASP Dependency‑Check or npm audit on a project and fix high‑severity findings.","1. What is software composition analysis? 2. How do you handle transitive dependencies? 3. What is CVE? 4. How do you prioritize dependency updates? 5. What is semantic versioning? 6. How do you automate vulnerability scans? 7. What is a lock file? 8. How do you mitigate zero‑day library flaws? 9. What is vendor patching? 10. How do you maintain SBOM?"
"Error & Exception Handling","Secure Error Responses","Learn to avoid information leakage through error messages and exceptions.","https://www.youtube.com/watch?v=H0XScE08hy8","Implement global error handlers that log details internally but return generic messages to clients.","1. Why should you avoid detailed error messages? 2. How do you implement centralized error handling? 3. What is exception masking? 4. How do you log stack traces securely? 5. What is fail‑secure vs. fail‑open? 6. How do you handle uncaught exceptions? 7. What are HTTP status codes for errors? 8. How do you sanitize error logs? 9. What is the role of correlation IDs? 10. How do you monitor for error spikes?"
"Application Logging","Audit & Monitoring","Understand secure logging practices, log retention, and audit trail requirements.","https://www.youtube.com/watch?v=fGq9MBueGiA","Configure structured logging (JSON) and integrate logs into ELK for monitoring.","1. What is structured logging? 2. What data should you avoid logging? 3. How do you implement log rotation? 4. What is log integrity? 5. How do you monitor logs for anomalies? 6. What is GDPR’s impact on logging? 7. How do you index logs in Elasticsearch? 8. What is log correlation? 9. How do you secure log storage? 10. What is SIEM integration?"
"Web Application Firewalls","WAF Configuration","Learn to deploy and tune a Web Application Firewall to protect web apps.","https://www.youtube.com/watch?v=F_mRKAQCZrA","Deploy ModSecurity in front of a web app and create custom rules to block attacks.","1. What is a WAF? 2. How does ModSecurity work? 3. What are false positives in WAFs? 4. How do you write custom WAF rules? 5. What is OWASP CRS? 6. How do you test WAF effectiveness? 7. What is rate limiting in WAF? 8. How do you handle encrypted traffic? 9. What is bot mitigation? 10. How do you monitor WAF logs?"

"Cloud Security Fundamentals","Shared Responsibility Model","Learn the division of security duties between cloud providers and customers.","https://www.youtube.com/watch?v=YOyDpy6p6B4","Create a matrix mapping security tasks for AWS, Azure, and GCP under the shared responsibility model.","1. What is the shared responsibility model? 2. How do responsibilities differ for IaaS vs. SaaS? 3. What security tasks remain with the customer in AWS? 4. How does Azure define its security responsibilities? 5. What is Google's approach to shared responsibility? 6. How do compliance requirements fit into the model? 7. What are potential gaps in shared responsibilities? 8. How do you validate provider compliance? 9. What tools help monitor customer responsibilities? 10. How do you document shared security roles?"
"Identity & Access Management","IAM Best Practices","Understand user, role, and policy management to secure cloud identities.","https://www.youtube.com/watch?v=bUASl4LiJ6Q","Configure IAM roles, policies, and MFA in AWS for least-privilege access.","1. What is least-privilege? 2. How do you implement MFA? 3. What are IAM roles vs. users? 4. How do you write a restrictive IAM policy? 5. What is an IAM group? 6. How do you audit IAM activity? 7. What is role chaining? 8. How do you rotate IAM credentials? 9. What is identity federation? 10. How do you secure service-to-service access?"
"Network Security in Cloud","VPC, Subnets & Security Groups","Learn how to segment and protect cloud networks using VPCs, subnets, and security groups.","https://www.youtube.com/watch?v=fJjbBSQRhpE","Design a secure VPC architecture with public/private subnets, NAT, and security groups in AWS.","1. What is a VPC? 2. How do subnets differ? 3. What are security groups vs. NACLs? 4. How do you implement a DMZ? 5. What is a NAT gateway? 6. How do you secure VPC endpoints? 7. What is VPC peering? 8. How do you monitor network traffic? 9. What is AWS Transit Gateway? 10. How do you enforce network segmentation?"
"Data Protection","Encryption at Rest & Transit","Understand encryption mechanisms for data stored and moving within the cloud.","https://www.youtube.com/watch?v=VmO-LsmFAhI","Enable KMS-managed encryption for S3 buckets and RDS instances, and enforce TLS for all endpoints.","1. What is encryption at rest? 2. How does AWS KMS work? 3. What is envelope encryption? 4. How do you enforce TLS? 5. What is client-side encryption? 6. How do you rotate encryption keys? 7. What is FIPS compliance? 8. How do you audit encryption usage? 9. What is AWS CloudHSM? 10. How do you handle key destruction?"
"Security Monitoring & Logging","CloudTrail & CloudWatch","Learn to collect and analyze logs and events for security monitoring.","https://www.youtube.com/watch?v=kmn-pM-hw4A","Configure CloudTrail to send logs to CloudWatch Logs and create alerts for unauthorized API calls.","1. What is CloudTrail? 2. How does CloudWatch Logs differ? 3. How do you set up log retention? 4. What events should you monitor? 5. How do you create CloudWatch alarms? 6. What is AWS Config? 7. How do you analyze logs? 8. What is log aggregation? 9. How do you secure log data? 10. How do you integrate with SIEM?"
"Vulnerability Management","Cloud Vulnerability Scanning","Explore tools for discovering vulnerabilities in cloud resources.","https://www.youtube.com/watch?v=oj3d5PwkRNg","Run Amazon Inspector against EC2 instances and remediate critical findings.","1. What is Amazon Inspector? 2. How do you schedule scans? 3. What are common findings? 4. How do you prioritize remediation? 5. What is CIS benchmark? 6. How do you integrate scanning into CI/CD? 7. What is dynamic vs. static scanning? 8. How do you handle false positives? 9. What is patch management? 10. How do you report vulnerabilities?"
"Compliance & Governance","Cloud Compliance Frameworks","Understand compliance standards (PCI‑DSS, HIPAA, GDPR) in the cloud.","https://www.youtube.com/watch?v=zXHlr3ui_UM","Develop a compliance checklist and implement AWS Config rules for HIPAA compliance.","1. What is PCI‑DSS requirement 3? 2. How does GDPR apply to cloud data? 3. What is HIPAA’s security rule? 4. What is SOC 2? 5. How do you enforce Config rules? 6. What is AWS Artifact? 7. How do you document compliance? 8. What is a compliance report? 9. How do you handle data residency? 10. What is continuous compliance?"
"Incident Response in Cloud","Cloud IR Playbooks","Learn how to detect, respond, and recover from incidents in cloud environments.","https://www.youtube.com/watch?v=9Eyvhj2l4g8","Create an incident response playbook for EC2 compromise, including isolation and forensic steps.","1. How do you isolate compromised instances? 2. What logs are critical for IR? 3. How do you preserve evidence? 4. What is AWS Systems Manager? 5. How do you automate response? 6. What is forensics in cloud? 7. How do you revoke credentials? 8. What is cross-account investigation? 9. How do you test IR playbooks? 10. What is post-incident review?"
"Serverless Security","Securing Lambda & API Gateway","Explore security best practices for serverless functions and APIs.","https://www.youtube.com/watch?v=Z-kbYkoidKo","Implement least-privilege IAM roles for Lambda and enable WAF on API Gateway.","1. How do you secure Lambda execution role? 2. What is API Gateway WAF? 3. How do you handle secrets? 4. What is cold start? 5. How do you monitor invocations? 6. What is VPC Lambda? 7. How do you prevent injection in serverless? 8. What is function-level logging? 9. How do you manage dependencies? 10. What is event source mapping?"
"Container Security","Kubernetes & ECS Security","Learn how to secure containerized workloads in Kubernetes or ECS.","https://www.youtube.com/watch?v=6IMRTQq27Ro","Deploy a Kubernetes cluster with Pod Security Policies and scan images with Clair.","1. What are Pod Security Policies? 2. How do you scan container images? 3. What is role-based access in K8s? 4. How do you secure etcd? 5. What is network policy? 6. How do you handle secrets? 7. What is runtime security? 8. How do you monitor containers? 9. What is CIS Kubernetes benchmark? 10. How do you automate compliance?"

"Endpoint Protection","EDR & Antivirus","Learn how Endpoint Detection and Response (EDR) and antivirus solutions detect, prevent, and respond to malware.","https://www.youtube.com/watch?v=-Z7jVw3ZDKw","Deploy an open‑source EDR agent (e.g., Wazuh) on a test host, execute simulated malware, and analyze detection logs.","1. What is the difference between EDR and traditional antivirus? 2. How do signature‑based and behavior‑based detections differ? 3. What is a telemetry feed? 4. How do you tune EDR rules to reduce false positives? 5. What is sandboxing? 6. How do you perform a threat hunt on endpoint data? 7. What logs are critical for endpoint forensics? 8. How do you quarantine malicious files? 9. What is the kill chain in endpoint protection? 10. How do you ensure endpoint agents remain up to date?"
"Vulnerability Management","Scanning & Patch Automation","Understand how to discover, prioritize, and remediate host and application vulnerabilities using automated tools.","https://www.youtube.com/watch?v=fDd6tFlSYzA","Use Nessus or OpenVAS to scan a range of hosts, generate a vulnerability report, and automate patch deployment via Ansible.","1. What is CVSS and how is it calculated? 2. How do authenticated vs. unauthenticated scans differ? 3. What is patch management lifecycle? 4. How do you prioritize vulnerabilities? 5. What are compensating controls? 6. How do you validate patch success? 7. What is the role of SLAs in vulnerability remediation? 8. How do you handle zero‑day vulnerabilities? 9. What is risk acceptance? 10. How do you integrate scanning into CI/CD pipelines?"
"Threat Intelligence","TI Collection & Analysis","Learn how to collect, process, and analyze threat intelligence from open and commercial sources.","https://www.youtube.com/watch?v=V_fpmzI_AuI","Ingest feeds from AlienVault OTX and a commercial TI provider into MISP, correlate IoCs, and generate a weekly threat report.","1. What are tactical vs. strategic threat intelligence? 2. How do you validate the reliability of a threat feed? 3. What is the STIX/TAXII standard? 4. How do you enrich IoCs? 5. What is threat scoring? 6. How do you operationalize TI in a SOC? 7. What is false positive in TI? 8. How do you integrate TI with SIEM? 9. What is CTI automation? 10. How do you measure TI program effectiveness?"
"Incident Response","IR Playbooks & Automation","Understand how to create and execute incident response playbooks, and automate containment and recovery actions.","https://www.youtube.com/watch?v=2r9E9U6JOV0","Develop IR playbooks for phishing and ransomware incidents, then automate containment steps using SOAR (e.g., TheHive + Cortex).","1. What are the key components of an IR playbook? 2. How do you automate containment? 3. What is a SOAR platform? 4. How do you test IR playbooks? 5. What metrics track IR effectiveness? 6. How do you handle cross‑team coordination? 7. What is post‑incident review? 8. How do you preserve evidence during automation? 9. What is SLA in incident response? 10. How do you maintain playbook versioning?"
"Security Operations Center","SOC Processes & Metrics","Learn SOC roles, monitoring workflows, and key performance indicators (MTTD, MTTR).","https://www.youtube.com/watch?v=sv8Wl-hmqe0","Design a SOC runbook detailing analyst tiers, escalation paths, and implement dashboards tracking MTTD and MTTR in Splunk.","1. What is the difference between L1, L2, and L3 SOC analysts? 2. How do you calculate Mean Time to Detect (MTTD)? 3. What is Mean Time to Respond (MTTR)? 4. What is alert triage? 5. How do you reduce alert fatigue? 6. What are KPIs for SOC performance? 7. What is SOC playbook? 8. How do you onboard new data sources? 9. What is a false negative in SOC? 10. How do you ensure continuous improvement in SOC operations?"

"IR Fundamentals","Incident Response Lifecycle","Learn the five phases: Preparation, Identification, Containment, Eradication, and Recovery.","https://www.youtube.com/watch?v=2r9E9U6JOV0","Develop an IR plan document covering each phase for a mid‑sized enterprise.","1. What are the five phases of the IR lifecycle? 2. How do you prepare an organization for incidents? 3. What is the difference between containment and eradication? 4. How do you verify recovery success? 5. What is the role of tabletop exercises? 6. How do you maintain chain of custody? 7. What are key IR metrics? 8. How do you coordinate with legal teams? 9. What is post‑incident review? 10. How do you update IR plans?"
"Detection & Analysis","Log Forensics","Understand how to collect, parse, and analyze logs from endpoints, networks, and applications.","https://www.youtube.com/watch?v=9pkLDEEs20I","Ingest Windows Event and syslog data into an ELK stack and create queries to detect anomalies.","1. What logs are critical for IR? 2. How do you normalize log data? 3. What is log retention best practice? 4. How do you detect brute‑force attacks via logs? 5. What is timeline analysis? 6. How do you use grep and regex for forensics? 7. What is log poisoning? 8. How do you preserve logs for evidence? 9. What is event correlation? 10. How do you secure log storage?"
"Memory Forensics","RAM Analysis","Learn how to capture and analyze volatile memory to identify malware and running processes.","https://www.youtube.com/watch?v=pRQO7Fft60c","Capture a memory dump from a VM and analyze it with Volatility to extract running processes and network connections.","1. What is volatile vs. non‑volatile data? 2. How do you capture memory safely? 3. What is Volatility? 4. How do you list processes from memory? 5. What are common memory artifacts? 6. How do you detect injected code? 7. What is DLL hollowing? 8. How do you carve files from memory? 9. What is pagefile forensics? 10. How do you verify memory integrity?"
"Disk Forensics","File System Analysis","Understand disk imaging, partition structures, and recovering deleted files.","https://www.youtube.com/watch?v=sm2ZznnH0vM","Create a forensic image of a virtual disk and recover deleted files using Autopsy.","1. What is a forensic disk image? 2. How do you calculate hash values? 3. What is a partition table? 4. How do you recover deleted files? 5. What are slack and unallocated spaces? 6. What is file carving? 7. How do you handle encrypted disks? 8. What is chain of custody for disks? 9. How do you document findings? 10. What is the difference between dd and FTK Imager?"
"Network Forensics","Packet Capture & Analysis","Learn how to capture network traffic and analyze packets for evidence of compromise.","https://www.youtube.com/watch?v=ql2PsgkYBXk","Use Wireshark to capture traffic during a simulated attack and identify malicious indicators (e.g., C2 traffic).","1. What is a packet capture? 2. How do you filter packets in Wireshark? 3. What is TCP three‑way handshake? 4. How do you detect ARP spoofing? 5. What are common C2 protocols? 6. How do you extract files from PCAPs? 7. What is SSL/TLS decryption? 8. How do you analyze DNS queries? 9. What is flow analysis? 10. How do you preserve PCAP integrity?"

"Threat Intelligence Fundamentals","TI Concepts & Types","Learn the definitions, goals, and categories of threat intelligence (strategic, tactical, operational, technical).","https://www.youtube.com/watch?v=V_fpmzI_AuI","Write a report classifying recent malware campaigns into TI types and recommending defensive actions.","1. What are the four types of threat intelligence? 2. How does strategic TI differ from tactical TI? 3. What are Indicators of Compromise (IoCs)? 4. What is the value of operational TI? 5. How do you measure TI effectiveness? 6. What sources feed technical TI? 7. How do you prioritize threat intelligence? 8. What is the role of open‑source intelligence (OSINT)? 9. How do you share TI within a community? 10. What challenges exist in TI collection?"
"Threat Feed Integration","STIX/TAXII & TIPs","Understand standards (STIX/TAXII) and Threat Intelligence Platforms (e.g., MISP) for automated ingestion and sharing.","https://www.youtube.com/watch?v=4miRtVxotCk","Deploy MISP, ingest open‑source feeds, map IoCs to STIX objects, and export a TAXII feed.","1. What are STIX and TAXII? 2. How does a TIP differ from a SIEM? 3. What is MISP? 4. How do you map IoCs to STIX? 5. How do you automate feed ingestion? 6. What is TAXII polling? 7. How do you export STIX bundles? 8. How do you handle feed deduplication? 9. What metadata enhances TI sharing? 10. How do you secure TIP communications?"
"Proactive Threat Hunting","Hunting Methodologies","Learn the kill‑chain model, hypothesis‑driven hunts, and use of analytics to discover hidden threats.","https://www.youtube.com/watch?v=0qBYA-Pct28","Develop and execute a threat‑hunting hypothesis in Splunk or ELK, documenting detection logic and findings.","1. What is the cyber kill chain? 2. How do you formulate a hunting hypothesis? 3. What is IOC vs. TTP? 4. How do you use Sigma rules? 5. What role does anomaly detection play? 6. How do you pivot on hunt findings? 7. What tools support threat hunting? 8. How do you validate hunt results? 9. What metrics measure hunting success? 10. How do you document hunt workflows?"
"MITRE ATT&CK Usage","Mapping & Detection","Explore how to map adversary TTPs to ATT&CK techniques and develop detection rules.","https://www.youtube.com/watch?v=nk9UQZ8JY-c","Select a real‑world breach, map its TTPs to ATT&CK, and create detection rules in your SIEM.","1. What are tactics and techniques in ATT&CK? 2. How do you map logs to ATT&CK? 3. What is a mitigation in ATT&CK? 4. How do you prioritize ATT&CK coverage? 5. How do you author detection rules? 6. What is ATT&CK Navigator? 7. How do you test rule efficacy? 8. What is the difference between ATT&CK and D3FEND? 9. How do you track coverage gaps? 10. How do you update mappings over time?"
