"Topic","Subtopic","Description","Video Links","Projects","Interview Questions"
"Color Theory","Using Colors Effectively","Learn the basics of color theory, color psychology, and how to apply colors in UI design.","https://www.youtube.com/watch?v=Qj1FK8n7WgY","Design a landing page with a color palette that communicates trust and excitement.","1. What is color theory? 2. What is the color wheel? 3. What are complementary and analogous colors? 4. How does color affect user emotion? 5. What’s the importance of contrast in color usage? 6. What is color accessibility? 7. How do you choose a color palette? 8. What tools do you use for color selection? 9. What are HEX and RGB? 10. What’s the role of brand colors in UI?"
"Design Consistency","Creating Uniform Interfaces","Ensure consistency in layout, spacing, color, and components across screens.","https://www.youtube.com/watch?v=VjTIkXJ6fZg","Design a 3-page mobile app prototype ensuring consistency in style and layout.","1. Why is consistency important in UI design? 2. How does a design system help? 3. What are reusable components? 4. How do you handle changes in design standards? 5. What is a style guide? 6. How do you maintain consistency across teams? 7. What is a UI pattern? 8. When is it okay to break consistency? 9. What are common consistency mistakes? 10. How do you document a consistent design?"

"Wireframing Basics","Sketching Low-Fidelity Designs","Understand low-fidelity wireframes, purpose, and how to sketch interface layouts.","https://www.youtube.com/watch?v=GnpEvu7wuyY","Sketch a low-fidelity wireframe for an e-commerce product page.","1. What is a wireframe? 2. Why are wireframes important? 3. What’s the difference between low-fidelity and high-fidelity wireframes? 4. Which tools are used for wireframing? 5. What is the typical process for creating a wireframe? 6. How detailed should a low-fidelity wireframe be? 7. What are some common elements in wireframes? 8. How do you get feedback on wireframes? 9. What’s the role of wireframes in agile design? 10. How do wireframes improve communication with developers?"
"Digital Wireframing Tools","Using Tools like Figma & Balsamiq","Explore tools for digital wireframing and collaboration.","https://www.youtube.com/watch?v=FTFaQWZBqQ8","Create a wireframe using Figma for a food delivery app homepage.","1. What are popular wireframing tools? 2. What’s the advantage of using Figma? 3. How do you create reusable components in Figma? 4. What’s the difference between Balsamiq and Figma? 5. How do wireframing tools support collaboration? 6. How do you share and present wireframes? 7. Can you prototype with wireframe tools? 8. How does auto-layout work in Figma? 9. What is a frame in Figma? 10. What are plugins in Figma used for?"
"Prototyping","Clickable Mockups","Learn how to create interactive prototypes that simulate user flow.","https://www.youtube.com/watch?v=hfYa4bHeA7c","Design an interactive prototype of a login and sign-up flow in Figma.","1. What is a prototype in UX design? 2. What is the difference between prototype and wireframe? 3. What tools can be used for prototyping? 4. How do you link screens in a prototype? 5. What’s a user flow in prototyping? 6. What’s the purpose of creating interactive prototypes? 7. What are hotspot links? 8. What’s the difference between static and interactive prototypes? 9. How do you conduct prototype testing? 10. What’s the benefit of high-fidelity prototypes?"
"Testing Prototypes","User Testing for Validation","Learn to test your prototypes with users and gather feedback.","https://www.youtube.com/watch?v=5Vd4a5ndzYc","Conduct user testing on a prototype of a to-do list app and improve based on feedback.","1. Why is user testing important? 2. What are common user testing methods? 3. How do you prepare for user testing? 4. What questions should you ask users? 5. How do you record user feedback? 6. What’s the difference between A/B testing and usability testing? 7. How do you define success metrics in testing? 8. What tools are used for user testing? 9. How do you implement feedback into design? 10. What are some challenges in user testing?"

"User Interviews","Conducting User Interviews","Learn how to gather qualitative insights through one-on-one user interviews.","https://www.youtube.com/watch?v=8oU3O4iN_7c","Conduct user interviews to understand pain points in a fitness tracking app.","1. What is the purpose of user interviews? 2. How do you recruit users for interviews? 3. What are some good questions to ask during a user interview? 4. How do you avoid bias in user interviews? 5. What tools can you use to record interviews? 6. What is the difference between structured and unstructured interviews? 7. How long should a typical user interview last? 8. How do you analyze interview data? 9. How can user interviews influence design decisions? 10. What are common mistakes in user interviewing?"
"Surveys & Questionnaires","Quantitative User Research","Use surveys to collect measurable user data at scale.","https://www.youtube.com/watch?v=0Tz5M5N7zlc","Create a Google Forms survey to evaluate satisfaction with a food delivery app.","1. When should you use surveys instead of interviews? 2. What are good practices for writing survey questions? 3. What tools are best for creating surveys? 4. How many users do you need for meaningful survey results? 5. What’s the difference between open-ended and close-ended questions? 6. How do you analyze survey results? 7. How can surveys help in identifying user personas? 8. What’s the role of Likert scales in UX surveys? 9. How do you prevent survey fatigue? 10. What are common survey mistakes?"
"Usability Testing","Testing Real Users with Your Design","Learn to observe users interacting with your design to spot usability issues.","https://www.youtube.com/watch?v=bhJzEIo6sj8","Run a usability test on a new payment flow for an e-commerce site.","1. What is usability testing in UX design? 2. How do you conduct a remote usability test? 3. What are common usability metrics? 4. How do you create tasks for usability testing? 5. What’s the difference between moderated and unmoderated testing? 6. How do you record sessions effectively? 7. How do you interpret user behavior during tests? 8. What are usability heuristics? 9. How do you report usability test findings? 10. What is the role of pilot testing?"
"Creating Personas","User Personas & Scenarios","Create detailed personas based on research to guide design decisions.","https://www.youtube.com/watch?v=Al6Y62ZP3Ts","Develop 2 personas for a ride-sharing app based on interview and survey data.","1. What is a user persona in UX design? 2. How do you create a persona from raw data? 3. What elements should a user persona include? 4. How many personas should you create? 5. What’s the difference between a persona and a user segment? 6. How do personas improve design focus? 7. How do you validate personas? 8. Can personas evolve over time? 9. What is a scenario in UX design? 10. What are common pitfalls when creating personas?"

"Color Theory","Understanding Color in UX/UI","Learn how to use color to convey meaning, emotion, and usability in interface design.","https://www.youtube.com/watch?v=V1vF5bB8g6c","Design a landing page for a meditation app using calming color palettes.","1. What is color theory in design? 2. How do warm and cool colors affect user perception? 3. What is a monochromatic color scheme? 4. What are complementary colors? 5. How can color affect user accessibility? 6. What is the 60-30-10 rule in UI design? 7. How do you use contrast for readability? 8. What tools help in choosing UI color palettes? 9. What is the psychological impact of colors in UX? 10. How do you ensure color consistency across a product?"
"Typography","Fonts and Readability","Understand the use of typography in enhancing readability and brand identity.","https://www.youtube.com/watch?v=HX3zidHFhQ0","Redesign an article page with improved typography for better readability.","1. What is typography in UI/UX design? 2. How do you choose the right font for a product? 3. What is the role of hierarchy in typography? 4. What’s the difference between serif and sans-serif fonts? 5. How do line height and letter spacing affect readability? 6. What are the best practices for using multiple fonts? 7. How does typography contribute to branding? 8. What is legibility vs readability? 9. What are typographic scales? 10. What tools can help in typography selection?"
"Layout & Spacing","Balance, Alignment, and Grid Systems","Learn how to structure interface elements using layout principles and spacing.","https://www.youtube.com/watch?v=YszONjKpgg4","Design a dashboard using a responsive grid system.","1. What is a grid system in UI design? 2. Why is alignment important in layouts? 3. What’s the difference between padding and margin? 4. How do you maintain visual balance in UI? 5. What is whitespace and why is it important? 6. What are the principles of proximity and alignment? 7. How do you use columns effectively in layout design? 8. What’s a modular grid? 9. How do you design responsive layouts? 10. What tools help in layout design?"
"Iconography","Using Icons Effectively in Interfaces","Understand how icons support UI clarity and enhance navigation.","https://www.youtube.com/watch?v=EL7La-f7gRI","Design a mobile navigation bar using custom and consistent icons.","1. What is iconography in UI/UX? 2. How do you ensure icon consistency? 3. What’s the difference between symbolic and illustrative icons? 4. How do icons enhance usability? 5. When should you use labels with icons? 6. What makes an icon intuitive? 7. What tools help in designing icons? 8. How does icon size affect user interaction? 9. What are best practices for icon placement? 10. How do icons affect accessibility?"

"Figma Basics","Introduction to Figma Interface and Tools","Learn the fundamentals of Figma for designing and prototyping user interfaces.","https://www.youtube.com/watch?v=FTFaQWZBqQ8","Design a homepage wireframe for an e-commerce website using Figma.","1. What is Figma used for in UI/UX? 2. How do you create a frame in Figma? 3. What are components in Figma? 4. How do you use auto layout? 5. How does Figma support collaboration? 6. What are variants in Figma? 7. What is the difference between prototype and design tabs? 8. How can you share Figma files with stakeholders? 9. What are plugins in Figma? 10. How do you export assets in Figma?"
"Adobe XD","Prototyping with Adobe XD","Explore Adobe XD to create interactive designs and high-fidelity prototypes.","https://www.youtube.com/watch?v=68w2VwalD5w","Design a mobile app onboarding flow in Adobe XD.","1. What is Adobe XD used for? 2. How do you create interactive prototypes in XD? 3. What’s the difference between design and prototype modes? 4. How do you share XD designs with a team? 5. What are components in Adobe XD? 6. How do you use repeat grid in XD? 7. How is Adobe XD different from Figma? 8. What are XD plugins? 9. How do you add animation in XD? 10. Can XD be used offline?"
"Sketch","UI Design with Sketch","Get familiar with Sketch for designing scalable and reusable UI components.","https://www.youtube.com/watch?v=lMVTG8z4T_s","Design a dashboard interface for a task management app using Sketch.","1. What is Sketch used for? 2. How do you create symbols in Sketch? 3. What are artboards and how are they used? 4. How does Sketch handle responsive design? 5. What are Sketch libraries? 6. How can you use shared styles in Sketch? 7. What file format does Sketch use? 8. How do you export assets from Sketch? 9. How does Sketch support collaboration? 10. Is Sketch available on platforms other than macOS?"
"Prototyping Best Practices","Optimizing User Flow and Interactivity","Learn key practices for effective prototyping to improve UX testing and feedback.","https://www.youtube.com/watch?v=tHRvruvYJYc","Create a prototype for a travel booking app with clear user flow.","1. What is the goal of prototyping in UX design? 2. What are the types of prototypes? 3. How do you decide fidelity level in a prototype? 4. What is a user flow? 5. Why is clickable prototyping important? 6. How do you gather feedback on prototypes? 7. What’s the difference between wireframes and prototypes? 8. How does prototyping improve usability testing? 9. What tools can be used for prototyping? 10. How often should you test a prototype?"

"Usability Testing","Conducting Effective Usability Tests","Understand how to conduct in-person and remote usability testing to gather real user feedback.","https://www.youtube.com/watch?v=OeUXz5YQ3FQ","Conduct a usability test for a newly designed mobile wallet app.","1. What is usability testing? 2. What is the main purpose of usability testing? 3. How do you recruit participants? 4. What are some common usability testing methods? 5. What metrics are used in usability testing? 6. How do you prepare test scenarios? 7. What are the advantages of remote usability testing? 8. What is a usability report? 9. How do you analyze usability data? 10. How often should usability testing be conducted?"
"User Feedback Analysis","Collecting and Analyzing Feedback","Learn how to gather user feedback from various channels and analyze it to improve design.","https://www.youtube.com/watch?v=KxbzX7Zz2aE","Analyze user feedback from surveys and app store reviews to identify improvement areas.","1. What are common methods of collecting user feedback? 2. How do you ensure unbiased feedback collection? 3. What is the role of surveys in user feedback? 4. What tools are used for feedback analysis? 5. How do you categorize feedback themes? 6. What is sentiment analysis in feedback? 7. How do you prioritize feedback items? 8. How do you incorporate feedback into design iterations? 9. What’s the importance of open-ended feedback? 10. How do you track feedback history?"
"A/B Testing","Comparative Design Testing","Learn how to set up A/B tests to compare design options and choose the best performing one.","https://www.youtube.com/watch?v=sv7Qn3n3_gE","Run an A/B test for two versions of a landing page for a newsletter signup.","1. What is A/B testing in UX? 2. How do you define test goals? 3. What tools are used for A/B testing? 4. How do you choose variables to test? 5. What is statistical significance? 6. What are common pitfalls in A/B testing? 7. How do you analyze test results? 8. What are multivariate tests? 9. How does A/B testing improve UX? 10. How long should you run an A/B test?"
"Accessibility Testing","Ensuring Inclusive Design","Understand how to test and improve accessibility for users with disabilities.","https://www.youtube.com/watch?v=HWbH9xzwG6E","Perform an accessibility audit on an education website and suggest improvements.","1. What is accessibility in UX design? 2. What tools are used for accessibility testing? 3. What are WCAG guidelines? 4. How do you test color contrast? 5. What is keyboard-only navigation? 6. How do you handle screen reader compatibility? 7. What is ARIA and how is it used? 8. How do you create accessible forms? 9. What role does semantic HTML play in accessibility? 10. Why is accessibility important for product success?"

"UX Portfolio Creation","Building an Impactful UX Portfolio","Learn how to organize and present your design work professionally in an online portfolio.","https://www.youtube.com/watch?v=FznSE3zT23Y","Create a personal UX portfolio with 3 featured case studies.","1. What should a UX portfolio include? 2. How many projects should be in a portfolio? 3. How do you present the design process? 4. What makes a UX portfolio stand out? 5. Should you include team projects? 6. How do you write project summaries? 7. What tools are used to build UX portfolios? 8. How important is visual consistency? 9. Should a UX portfolio include user research? 10. How do you tailor a portfolio for a job application?"
"Case Study Writing","Structuring Case Studies","Understand how to write compelling UX case studies with problem statements, solutions, and outcomes.","https://www.youtube.com/watch?v=_g3lS6cJ5V8","Write a case study on a redesign project of a food delivery app.","1. What is a UX case study? 2. What are the key components of a case study? 3. How do you frame the problem statement? 4. What makes a case study impactful? 5. How do you highlight your role in team projects? 6. How do you show the design process clearly? 7. How do you present user research in case studies? 8. What kind of visuals should be included? 9. How do you showcase measurable results? 10. How long should a UX case study be?"
"Storytelling in Design","Presenting Work Through Stories","Learn storytelling techniques to create engaging narratives around your UX projects.","https://www.youtube.com/watch?v=DYZK-Pewjfg","Redesign a mobile app interface and present the journey using storytelling techniques.","1. Why is storytelling important in UX? 2. What are the components of a design story? 3. How do you create emotional connection through stories? 4. What are common storytelling frameworks used in UX? 5. How do you structure a UX presentation? 6. What is the Hero’s Journey in UX storytelling? 7. How do you use storytelling in portfolios? 8. How do you present failures in case studies? 9. What are storytelling dos and don’ts? 10. How do you adapt your story for different audiences?"
"Personal Branding","Crafting Your Design Identity","Learn to define your design voice and build a professional presence online.","https://www.youtube.com/watch?v=sENM2wA_FTg","Design a personal brand identity (logo, color palette, tone) and apply it across your portfolio.","1. What is personal branding in design? 2. Why is personal branding important for UX designers? 3. How do you define your design identity? 4. What platforms should you showcase your work on? 5. How do you maintain brand consistency? 6. How do you describe yourself as a designer? 7. What should be on your LinkedIn profile as a UX designer? 8. Should you include a blog or writing samples? 9. How do you engage with the design community? 10. How do you grow your personal brand over time?"

"Major","End-to-End E-commerce Website UX Design","Design a complete user journey for an e-commerce platform—from user research to high-fidelity prototypes including checkout flow, wishlist, and search filters.","https://www.youtube.com/watch?v=MZjJ-1pXYRg","1. What challenges do users face in e-commerce navigation? 2. How do you structure product categorization? 3. What accessibility features would you implement? 4. How would you test your design? 5. How would you improve search functionality? 6. How do you balance aesthetics and usability? 7. How do you conduct competitor analysis? 8. What KPIs would you track? 9. How do you present such a project in your portfolio? 10. What tools would you use for collaboration?"
"Major","Mobile Banking App Redesign","Redesign an existing banking app focusing on security, simplicity, and usability, especially for non-tech-savvy users.","https://www.youtube.com/watch?v=F7Fo-xNbc","1. How do you approach redesigning legacy systems? 2. What UX challenges are specific to banking apps? 3. How would you prioritize user flows? 4. What methods do you use for testing? 5. How do you make onboarding intuitive? 6. How do you handle error states? 7. What colors/fonts suit fintech UI? 8. How do you simplify complex transactions? 9. How do you design for trust and security? 10. How do you validate a banking app redesign?"
"Minor","Weather Forecast App UI","Design a sleek, minimal UI for a daily and weekly weather forecast mobile app with location-based personalization.","https://www.youtube.com/watch?v=snF2QmF9ndU","1. What UX elements are essential in a weather app? 2. How do you prioritize content on a small screen? 3. What role does typography play in this design? 4. How do you create intuitive icons? 5. How do you improve loading states? 6. How would you test the usability? 7. How do you incorporate live data UX? 8. How would animations enhance the experience? 9. What visual hierarchy would you follow? 10. How would you handle offline states?"
"Minor","Online Course Landing Page Design","Create a responsive and engaging landing page for an online course with clear CTAs, testimonials, and curriculum sections.","https://www.youtube.com/watch?v=1R5B5g0zW-o","1. What makes a landing page effective? 2. How do you structure a persuasive CTA? 3. What psychological triggers improve conversions? 4. How do you use color theory here? 5. How do you structure testimonials? 6. What layout works best on mobile? 7. What is the ideal scroll depth for landing pages? 8. How do you handle font and spacing? 9. How do you reduce bounce rate? 10. How do you A/B test landing page variants?"
